[2025-11-17 15:11:11,078] 18 root - INFO - Initiate the data ingestion
[2025-11-17 15:11:17,703] 65 root - INFO - Performed train test split on the dataframe
[2025-11-17 15:11:17,703] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-11-17 15:11:17,705] 75 root - INFO - Exporting train and test file path.
[2025-11-17 15:11:17,866] 84 root - INFO - Exported train and test file path.
[2025-11-17 15:11:17,868] 20 root - INFO - Data Initiation Completed
[2025-11-17 15:11:17,891] 24 root - INFO - Initiate the data Validation
[2025-11-17 15:11:18,100] 32 root - INFO - Required number of columns:2
[2025-11-17 15:11:18,100] 33 root - INFO - Data frame has columns:31
[2025-11-17 15:11:18,101] 32 root - INFO - Required number of columns:2
[2025-11-17 15:11:18,101] 33 root - INFO - Data frame has columns:31
[2025-11-17 15:11:18,491] 26 root - INFO - data Validation Completed
